,Followed_users
0,_zavika
1,ramfitness_d1
2,tinakuchma
3,kurtrawlinsfitness
4,bendebuck
5,marcel94co
6,megha_003
7,kayla_itsines
8,fitnessbyjanne
9,fitnika101
10,abenevolentsoul
11,indiiaaa8
