,Followed_users
0,smerfkox
1,amir.fit
2,cclarke_19
3,maxfit
4,maxsbestbootcamp
5,nico1883
6,cesarbauzaa
7,fitlifeofwendy
8,luluwirbelwind
9,gymaholic
10,kelseyhynesfit
11,getfitwithkrish
12,ellena_fit
13,maddie.fitt
14,kamranrezaei_official
15,mihaelaamilkova
16,andrea_subotic
